Dataset,Dataset_Size,Mode,Memory_Ratio,Threads,Actual_Threads,Cycles,Instructions,Instructions_Per_Cycle,Memory_Accesses,CPU_Usage,Swap_Activity,IO_Performance,Context_Switches,Run_Queue_Length,Time_Elapsed,Page_Faults,Memory_Swap,Page_Allocations,Disk_Wait
amazon_Clothing_Shoes_and_Jewelry,3.240,Baseline,N/A,32,,273875375494,29218413523,.106,3478659599,,,,8211,,3.357843436,178175035,0,209730966,174068
amazon_Clothing_Shoes_and_Jewelry,3.240,Baseline,N/A,64,,363924437314,29702602964,.081,3205372701,,,,10149,,3.027758706,178190420,0,209770474,174072
amazon_Clothing_Shoes_and_Jewelry,3.240,Baseline,N/A,128,,691851750492,38455156926,.055,3243946046,,,,13818,,3.614492952,178209378,0,209809970,174076
amazon_Clothing_Shoes_and_Jewelry,3.240,Baseline,N/A,256,,1387284538099,55756135403,.040,3310573690,,,,20917,,3.797175086,178235422,0,209849470,174080
amazon_Electronics,3.055,Baseline,N/A,32,,213525464272,40509754866,.189,4985330037,,,,8486,,4.162435377,178248781,0,209886138,174084
amazon_Electronics,3.055,Baseline,N/A,64,,255154904850,38957970370,.152,5343094888,,,,10018,,3.749044709,178263966,0,209922686,174087
amazon_Electronics,3.055,Baseline,N/A,128,,557310380864,53053215498,.095,5512026120,,,,14155,,4.953550803,178283227,0,209959214,174091
amazon_Electronics,3.055,Baseline,N/A,256,,966569222060,56727794378,.058,5424376524,,,,20645,,3.907804822,178309091,0,209995750,174095
amazon_Office_Products,.640,Baseline,N/A,32,,109136127951,20361815438,.186,2035818241,,,,7119,,1.547918661,178321179,0,210024022,174099
amazon_Office_Products,.640,Baseline,N/A,64,,146531846980,22586683726,.154,2266943338,,,,9501,,1.483000860,178335834,0,210052146,174102
amazon_Office_Products,.640,Baseline,N/A,128,,198193426400,24836683048,.125,2080465085,,,,12109,,1.487105128,178353145,0,210080274,174106
amazon_Office_Products,.640,Baseline,N/A,256,,408996328783,32292233827,.078,2360208845,,,,19926,,1.882755704,178378275,0,210108398,174110
amazon_Home_and_Kitchen,2.517,Baseline,N/A,32,,57916571410,14947289733,.258,899768384,,,,5767,,3.496641916,178389044,0,210164406,174117
amazon_Home_and_Kitchen,2.517,Baseline,N/A,64,,88294058408,15961229887,.180,1161689743,,,,5933,,3.507909433,178400434,0,210218902,174124
amazon_Home_and_Kitchen,2.517,Baseline,N/A,128,,102899271636,15325957413,.148,899304537,,,,6479,,3.378403584,178412330,0,210273390,174131
amazon_Home_and_Kitchen,2.517,Baseline,N/A,256,,105274699539,14853747788,.141,656392921,,,,7101,,3.318517261,178424839,0,210327870,174138
d,Baseline,N/A,32,,,93353931,54113526,.579,6400756,,,,836,,0.036870103,178431096,0,210341154,174141
d,Baseline,N/A,64,,,93362859,52721140,.564,6337620,,,,828,,0.034973652,178436909,0,210354530,174145
d,Baseline,N/A,128,,,87411867,53525241,.612,6304879,,,,820,,0.034741095,178442723,0,210367902,174149
d,Baseline,N/A,256,,,89437278,52778246,.590,6281876,,,,825,,0.033765253,178448572,0,210381274,174152
amazon_Clothing_Shoes_and_Jewelry,3.240,MERCI,1.25,32,,255732279091,80622722458,.315,2207457406,,,,10051,,6.026561038,178603499,0,210871022,174452
